7,1,143,182
7,0,178,156
7,1,281,130
7,1,196,130
7,0,385,130
7,0,131,130
7,1,20,26
7,0,370,156
7,0,203,130
7,1,229,130
7,1,195,130
7,0,391,131
7,1,62,52
7,1,28,52
7,0,218,156
7,0,39,52
7,0,218,130
7,0,314,130
7,1,195,156
7,1,5,26
7,1,137,130
7,1,267,130
7,1,106,131
7,0,196,130
7,1,54,52
7,0,397,130
7,1,32,130
7,0,18,52
7,0,103,131
7,1,199,156
7,1,364,130
7,0,393,131
7,1,157,130
7,1,259,131
7,0,15,26
7,0,84,52
7,1,131,131
7,0,245,130
7,1,250,130
7,1,359,156
7,0,265,130
7,1,106,156
7,1,293,130
7,1,392,130
7,0,6,52
7,0,299,156
7,0,344,130
7,1,180,131
7,1,230,130
7,0,31,52
7,0,6,52
7,1,375,131
7,1,184,130
7,1,360,131
7,0,61,52
7,1,187,156
7,1,311,156
7,1,191,131
7,0,273,130
7,0,231,130
7,0,183,156
7,1,139,130
7,1,310,156
7,0,344,130
7,1,134,131
7,1,170,156
7,1,202,156
7,0,51,130
7,0,101,130
7,1,101,156
7,0,60,26
7,0,341,156
7,1,279,130
7,0,51,156
7,1,357,130
7,1,323,156
7,1,214,130
7,1,41,52
7,1,56,26
7,0,245,130
7,1,42,26
7,0,388,130
7,0,163,157
7,0,252,130
7,1,36,52
7,0,347,156
7,0,186,157
7,1,26,131
7,1,234,130
7,1,316,130
7,1,73,52
7,0,326,131
7,1,4,26
7,0,128,130
7,0,231,131
7,1,359,131
7,0,58,130
7,1,167,105
7,0,311,130
7,1,144,130
7,0,253,157
7,1,78,52
